date_time,incident_number,location,location,ori
1/3/2024 0:02,2024-00000459,493 W ROBINSON ST,Traffic Stop,OK0140200
1/3/2024 0:03,2024-00000460,5542 HUETTNER DR,Traffic Stop,OK0140200
1/3/2024 0:11,2024-00000122,801 CONDOR CT EMS,Mutual Aid,EMSSTAT
1/3/2024 0:31,2024-00000463,2841 CLASSEN BLVD,Larceny,OK0140200
1/3/2024 0:33,2024-00000462,300 W MAIN ST,Traffic Stop,OK0140200
1/3/2024 0:47,2024-00000464,202 STANTON DR,Noise Complaint,OK0140200
1/3/2024 0:52,2024-00000465,2101 W BOYD ST,Alarm,OK0140200
1/3/2024 1:07,2024-00000466,967 ALAMEDA ST,Traffic Stop,OK0140200
1/3/2024 1:19,2024-00000093,1813 TWISTED OAK DR,Medical Call Pd Requested,14005
1/3/2024 1:19,2024-00000123,1813 TWISTED OAK DR,Medical Call Pd Requested,EMSSTAT
1/3/2024 1:33,2024-00000467,1920 12TH AVE NE,Traffic Stop,OK0140200
1/3/2024 1:39,2024-00000468,2348 HEATHERFIELD LN,Drug Violation,OK0140200
1/3/2024 1:54,2024-00000469,808 W BOYD ST,Traffic Stop,OK0140200
1/3/2024 2:11,2024-00000470,3300 HEALTHPLEX PKWY,Escort/Transport,OK0140200
1/3/2024 2:34,2024-00000094,E ALAMEDA ST / 192ND AVE NE MVA,With Injuries,14005
1/3/2024 2:34,2024-00000124,E ALAMEDA ST / 192ND AVE NE MVA,With Injuries,EMSSTAT
1/3/2024 2:43,2024-00000471,180TH AVE SE / STEWART DR,Mutual Aid,OK0140200
1/3/2024 2:48,2024-00000472,900 E LINDSEY ST,Disturbance/Domestic,OK0140200
1/3/2024 2:58,2024-00000473,3700 12TH AVE SE,Disturbance/Domestic,OK0140200
1/3/2024 2:59,2024-00000095,2020 OLD CENTRAL DR,Heart Problems/AICD,14005
1/3/2024 2:59,2024-00000125,2020 OLD CENTRAL DR,Heart Problems/AICD,EMSSTAT
1/3/2024 3:16,2024-00000474,2900 OAK TREE AVE,Alarm,OK0140200
1/3/2024 3:28,2024-00000475,2805 DEWEY AVE,Check Area,OK0140200
1/3/2024 3:58,2024-00000476,750 RIDGECREST CT,Suspicious,OK0140200
1/3/2024 4:03,2024-00000096,2156 W BROOKS ST,Allergies/Envenomations,14005
1/3/2024 4:03,2024-00000126,2156 W BROOKS ST,Allergies/Envenomations,EMSSTAT
1/3/2024 4:20,2024-00000478,318 E HAYES ST,Contact a Subject,OK0140200
1/3/2024 4:22,2024-00000477,3160 ROCK CREEK TRL,Suspicious,OK0140200
1/3/2024 4:25,2024-00000097,1351 HIGH MEADOWS DR,Public Assist,14005
1/3/2024 4:34,2024-00000098,200 VICKSBURG AVE,Public Assist,14005
1/3/2024 5:02,2024-00000479,1115 E CONSTITUTION ST,Alarm,OK0140200
1/3/2024 5:23,2024-00000127,2000 ANN BRANDEN BLVD,Transfer/Interfacility,EMSSTAT
1/3/2024 5:56,2024-00000099,1215 E ROBINSON ST,Fire Controlled Burn,14005
1/3/2024 6:19,2024-00000480,577 BUCHANAN AVE,Alarm,OK0140200
1/3/2024 6:21,2024-00000128,1776 E ROBINSON ST,Headache,EMSSTAT
1/3/2024 6:51,2024-00000100,1111 24TH AVE SW,Sick Person,14005
1/3/2024 6:51,2024-00000129,1111 24TH AVE SW,Sick Person,EMSSTAT
1/3/2024 6:58,2024-00000481,615 W MAIN ST,Disturbance/Domestic,OK0140200
1/3/2024 7:00,2024-00000482,2400 36TH AVE NW,Larceny,OK0140200
1/3/2024 7:01,2024-00000483,105 S UNIVERSITY BLVD,Alarm,OK0140200
1/3/2024 7:05,2024-00000101,1111 OAK TREE AVE,Unconscious/Fainting,14005
1/3/2024 7:05,2024-00000130,1111 OAK TREE AVE,Unconscious/Fainting,EMSSTAT
1/3/2024 7:07,2024-00000131,700 S TELEPHONE RD,Transfer/Interfacility,EMSSTAT
1/3/2024 7:51,2024-00000484,1100 OAK TREE AVE,Runaway or Lost Child,OK0140200
1/3/2024 7:55,2024-00000485,13628 CRYSTAL BROOK CIR,Alarm,OK0140200
1/3/2024 8:02,2024-00000486,318 E HAYES ST,Larceny,OK0140200
1/3/2024 8:08,2024-00000489,1404 W LINDSEY ST,Alarm,OK0140200
1/3/2024 8:08,2024-00000488,E TECUMSEH RD / 12TH AVE NE,Welfare Check,OK0140200
1/3/2024 8:10,2024-00000487,ALAMEDA ST / S FINDLAY AVE,Welfare Check,OK0140200
1/3/2024 8:20,2024-00000491,1028 E MAIN ST,Contact a Subject,OK0140200
1/3/2024 8:21,2024-00000490,650 N INTERSTATE DR,Alarm,OK0140200
1/3/2024 8:27,2024-00000492,1000 E TECUMSEH RD,Welfare Check,OK0140200
1/3/2024 8:28,2024-00000139,901 N PORTER AVE,Transfer/Interfacility,EMSSTAT
1/3/2024 8:30,2024-00000493,318 E HAYES ST,Larceny,OK0140200
1/3/2024 8:35,2024-00000149,901 N PORTER AVE,Transfer/Interfacility,EMSSTAT
1/3/2024 8:40,2024-00000102,5120 DEERHURST DR,Falls,14005
1/3/2024 8:40,2024-00000132,5120 DEERHURST DR,Sick Person,EMSSTAT
1/3/2024 8:42,2024-00000103,5300 N INTERSTATE DR,Fire Alarm,14005
1/3/2024 8:46,2024-00000494,1500 N FLOOD AVE,Traffic Stop,OK0140200
1/3/2024 8:52,2024-00000104,4716 LAS COLINAS LN,Unconscious/Fainting,14005
1/3/2024 8:52,2024-00000133,4716 LAS COLINAS LN,Unconscious/Fainting,EMSSTAT
1/3/2024 8:53,2024-00000135,700 S TELEPHONE RD,Transfer/Interfacility,EMSSTAT
1/3/2024 8:58,2024-00000495,1500 N FLOOD AVE,Traffic Stop,OK0140200
